帧,时间,播放,评论,同时人数,同时人数不带加号,点赞,投币,收藏,转发
4273975,2024-08-20T17:40:32+08:00,334.1,2.1,2000+,2000,30.8,31.8,11.6,4.7
1566065,2024-08-20T05:08:20+08:00,266.3,1.8,950,950,27.3,28.3,10.4,4.3
3053254,2024-08-20T12:01:27+08:00,307.9,2.0,2000+,2000,29.3,30.2,11.1,4.5
982713,2024-08-20T02:26:18+08:00,262.4,1.8,1000+,1000,27.1,28.0,10.3,4.3
1537259,2024-08-20T05:00:20+08:00,266.1,1.8,946,946,27.3,28.3,10.4,4.3
1504849,2024-08-20T04:51:20+08:00,266.0,1.8,942,942,27.3,28.3,10.4,4.3
2070196,2024-08-20T07:28:22+08:00,273.5,1.8,1000+,1000,27.5,28.6,10.5,4.3
723444,2024-08-20T01:14:16+08:00,258.7,1.8,2000+,2000,26.8,27.7,10.2,4.2
3741036,2024-08-20T15:12:30+08:00,326.1,2.1,2000+,2000,30.3,31.3,11.5,4.6
2390682,2024-08-20T08:57:24+08:00,287.2,1.9,2000+,2000,28.1,29.1,10.7,4.4
1994579,2024-08-20T07:07:22+08:00,271.2,1.8,1000+,1000,27.5,28.5,10.5,4.3
4065120,2024-08-20T16:42:31+08:00,331.0,2.1,2000+,2000,30.6,31.6,11.6,4.7
4122736,2024-08-20T16:58:31+08:00,331.9,2.1,2000+,2000,30.6,31.7,11.6,4.7
5177812,2024-08-20T21:51:36+08:00,350.6,2.3,1000+,1000,31.7,32.9,12.0,4.8
1825337,2024-08-20T06:20:21+08:00,268.1,1.8,1000+,1000,27.4,28.4,10.4,4.3
1371614,2024-08-20T04:14:19+08:00,265.3,1.8,1000+,1000,27.2,28.3,10.4,4.3
266125,2024-08-19T23:07:14+08:00,243.9,1.7,5000+,5000,25.7,26.4,9.8,4.1
226514,2024-08-19T22:56:14+08:00,241.8,1.6,5000+,5000,25.6,26.2,9.7,4.1
2253846,2024-08-20T08:19:23+08:00,281.0,1.9,2000+,2000,27.8,28.9,10.6,4.3
1029525,2024-08-20T02:39:18+08:00,262.9,1.8,1000+,1000,27.1,28.1,10.3,4.3
4302781,2024-08-20T17:48:32+08:00,334.6,2.1,2000+,2000,30.8,31.8,11.6,4.7
3870670,2024-08-20T15:48:30+08:00,328.2,2.1,2000+,2000,30.4,31.4,11.5,4.6
64472,2024-08-19T22:11:14+08:00,233.8,1.6,5000+,5000,25.1,25.7,9.6,4.0
543397,2024-08-20T00:24:16+08:00,254.9,1.7,3000+,3000,26.5,27.3,10.1,4.2
2351071,2024-08-20T08:46:23+08:00,285.3,1.9,2000+,2000,28.0,29.1,10.7,4.4
2336667,2024-08-20T08:42:23+08:00,284.7,1.9,2000+,2000,28.0,29.0,10.6,4.4
3679818,2024-08-20T14:55:29+08:00,325.0,2.1,2000+,2000,30.2,31.2,11.4,4.6
1231173,2024-08-20T03:35:19+08:00,264.5,1.8,1000+,1000,27.2,28.2,10.4,4.3
759454,2024-08-20T01:24:17+08:00,259.4,1.8,2000+,2000,26.9,27.7,10.2,4.3
3463763,2024-08-20T13:55:28+08:00,320.6,2.1,2000+,2000,30.0,31.0,11.3,4.6
3370138,2024-08-20T13:29:28+08:00,318.3,2.0,3000+,3000,29.9,30.9,11.3,4.6
269726,2024-08-19T23:08:14+08:00,244.2,1.7,5000+,5000,25.7,26.4,9.8,4.1
3748237,2024-08-20T15:14:30+08:00,326.2,2.1,2000+,2000,30.3,31.3,11.5,4.6
2779583,2024-08-20T10:45:25+08:00,301.1,1.9,2000+,2000,28.9,29.8,10.9,4.5
2653550,2024-08-20T10:10:25+08:00,297.2,1.9,2000+,2000,28.7,29.6,10.9,4.4
3434954,2024-08-20T13:47:28+08:00,320.0,2.1,2000+,2000,30.0,31.0,11.3,4.6
3089263,2024-08-20T12:11:27+08:00,309.1,2.0,3000+,3000,29.3,30.3,11.1,4.5
2394283,2024-08-20T08:58:24+08:00,287.4,1.9,2000+,2000,28.2,29.2,10.7,4.4
4281176,2024-08-20T17:42:32+08:00,334.3,2.1,2000+,2000,30.8,31.8,11.6,4.7
1861343,2024-08-20T06:30:21+08:00,268.5,1.8,1000+,1000,27.4,28.4,10.5,4.3
1364412,2024-08-20T04:12:19+08:00,265.3,1.8,1000+,1000,27.2,28.3,10.4,4.3
5084188,2024-08-20T21:25:35+08:00,348.7,2.2,3000+,3000,31.6,32.8,12.0,4.8
1151957,2024-08-20T03:13:18+08:00,263.9,1.8,1000+,1000,27.2,28.1,10.4,4.3
2739972,2024-08-20T10:34:25+08:00,300.2,1.9,2000+,2000,28.8,29.8,10.9,4.4
3640208,2024-08-20T14:44:29+08:00,324.3,2.1,2000+,2000,30.2,31.2,11.4,4.6
2131414,2024-08-20T07:45:23+08:00,275.8,1.9,1000+,1000,27.6,28.7,10.5,4.3
2376278,2024-08-20T08:53:24+08:00,286.5,1.9,2000+,2000,28.1,29.1,10.7,4.4
428168,2024-08-19T23:52:15+08:00,251.4,1.7,4000+,4000,26.3,27.0,10.0,4.2
3935486,2024-08-20T16:06:30+08:00,329.1,2.1,2000+,2000,30.5,31.5,11.5,4.6
4871731,2024-08-20T20:26:35+08:00,344.4,2.2,3000+,3000,31.3,32.5,11.9,4.8
5051779,2024-08-20T21:16:35+08:00,348.0,2.2,2000+,2000,31.5,32.7,12.0,4.8
557802,2024-08-20T00:28:16+08:00,255.4,1.7,3000+,3000,26.6,27.3,10.1,4.2
3816656,2024-08-20T15:33:30+08:00,327.3,2.1,2000+,2000,30.4,31.4,11.5,4.6
3002841,2024-08-20T11:47:26+08:00,306.6,2.0,2000+,2000,29.2,30.2,11.0,4.5
4205556,2024-08-20T17:21:32+08:00,333.1,2.1,2000+,2000,30.7,31.7,11.6,4.7
806266,2024-08-20T01:37:17+08:00,260.2,1.8,2000+,2000,26.9,27.8,10.3,4.3
4194754,2024-08-20T17:18:32+08:00,333.0,2.1,2000+,2000,30.7,31.7,11.6,4.7
3038850,2024-08-20T11:57:26+08:00,307.5,2.0,2000+,2000,29.2,30.2,11.1,4.5
1411224,2024-08-20T04:25:19+08:00,265.5,1.8,1000+,1000,27.2,28.3,10.4,4.3
4155144,2024-08-20T17:07:31+08:00,332.4,2.1,2000+,2000,30.7,31.7,11.6,4.7
2984836,2024-08-20T11:42:26+08:00,306.2,2.0,2000+,2000,29.2,30.1,11.0,4.5
1303196,2024-08-20T03:55:19+08:00,264.9,1.8,1000+,1000,27.2,28.2,10.4,4.3
395759,2024-08-19T23:43:15+08:00,250.0,1.7,5000+,5000,26.2,26.8,10.0,4.2
158096,2024-08-19T22:37:14+08:00,238.3,1.6,5000+,5000,25.4,26.0,9.7,4.1
4119133,2024-08-20T16:57:31+08:00,331.8,2.1,2000+,2000,30.6,31.7,11.6,4.7
799064,2024-08-20T01:35:17+08:00,260.0,1.8,2000+,2000,26.9,27.8,10.3,4.3
2563526,2024-08-20T09:45:24+08:00,293.9,1.9,2000+,2000,28.5,29.5,10.8,4.4
2927219,2024-08-20T11:26:26+08:00,304.8,2.0,2000+,2000,29.1,30.1,11.0,4.5
4374801,2024-08-20T18:08:32+08:00,335.9,2.2,2000+,2000,30.8,31.9,11.7,4.7
3503373,2024-08-20T14:06:29+08:00,321.6,2.1,2000+,2000,30.1,31.1,11.4,4.6
5224624,2024-08-20T22:04:36+08:00,351.7,2.3,3000+,3000,31.7,32.9,12.0,4.8
4526042,2024-08-20T18:50:33+08:00,338.5,2.2,2000+,2000,31.0,32.1,11.7,4.7
593810,2024-08-20T00:38:16+08:00,256.2,1.7,3000+,3000,26.6,27.4,10.1,4.2
2711165,2024-08-20T10:26:25+08:00,299.3,1.9,2000+,2000,28.8,29.7,10.9,4.4
388557,2024-08-19T23:41:15+08:00,249.6,1.7,5000+,5000,26.2,26.8,9.9,4.2
5026566,2024-08-20T21:09:35+08:00,347.5,2.2,3000+,3000,31.5,32.7,11.9,4.8
3582594,2024-08-20T14:28:29+08:00,323.3,2.1,2000+,2000,30.1,31.1,11.4,4.6
3629406,2024-08-20T14:41:29+08:00,324.1,2.1,2000+,2000,30.2,31.2,11.4,4.6
2714766,2024-08-20T10:27:25+08:00,299.4,1.9,2000+,2000,28.8,29.7,10.9,4.4
129289,2024-08-19T22:29:14+08:00,236.8,1.6,5000+,5000,25.3,25.9,9.6,4.1
4097529,2024-08-20T16:51:31+08:00,331.5,2.1,2000+,2000,30.6,31.6,11.6,4.7
2963231,2024-08-20T11:36:26+08:00,305.7,2.0,2000+,2000,29.1,30.1,11.0,4.5
1058334,2024-08-20T02:47:18+08:00,263.2,1.8,1000+,1000,27.1,28.1,10.3,4.3
3388143,2024-08-20T13:34:28+08:00,318.8,2.0,2000+,2000,29.9,30.9,11.3,4.6
